Chapter,Section,VerseRange,Text
2,3,3-5,"But air and sky are immaterial, are immortal, are fluid, are indefinite. The essence of that which is immaterial, which is immortal, which is fluid, which is indefinite is the person in the disk of the sun, for he is the essence of tyad (the indefinite). So far with regard to the Devas. Now with regard to the body. Everything except the breath and the ether within the body is material, is mortal, is solid, is definite. The essence of that which is material, which is mortal, which is solid, which is definite is the Eye, for it is the essence of sat (the definite). But breath and the ether within the body are"
2,3,4-6,"Now with regard to the body. Everything except the breath and the ether within the body is material, is mortal, is solid, is definite. The essence of that which is material, which is mortal, which is solid, which is definite is the Eye, for it is the essence of sat (the definite). But breath and the ether within the body are immaterial, are immortal, are fluid, are indefinite. The essence of that which is immaterial, which is immortal, which is fluid, which is indefinite is the person in the right eye, for he is the essence of tyad (the indefinite). And what is the appearance of that person? Like"
2,3,5-6,"But breath and the ether within the body are immaterial, are immortal, are fluid, are indefinite. The essence of that which is immaterial, which is immortal, which is fluid, which is indefinite is the person in the right eye, for he is the essence of tyad (the indefinite). And what is the appearance of that person? Like a saffron-coloured raiment, like white wool, like cochineal, like the flame of fire, like the white lotus, like sudden lightning. He who knows this, his glory is like unto sudden lightning. Next follows the teaching (of Brahman) by No, no! for there is nothing else higher than this (if one says): `It is not so.' Then comes the name `the True of the True,' the senses being the True, and he (the Brahman) the True of them."
2,4,1-3,"Now when Yagnavalkya was going to enter upon another state, he said: `Maitreyi, verily I am going away from this my house (into the forest). Forsooth, let me make a settlement between thee and that Katyayani (my other wife).' Maitreyi said: `My Lord, if this whole earth, full of wealth, belonged to me, tell me, should I be immortal by it?' `No,' replied Yagnavalkya; `like the life of rich people will be thy life. But there is no hope of immortality by wealth.' And Maitreyi said: `What should I do with that by"
2,4,2-4,"Maitreyi said: `My Lord, if this whole earth, full of wealth, belonged to me, tell me, should I be immortal by it?' `No,' replied Yagnavalkya; `like the life of rich people will be thy life. But there is no hope of immortality by wealth.' And Maitreyi said: `What should I do with that by which I do not become immortal? What my Lord knoweth (of immortality), tell that to me'. Yagnavalkya replied: `Thou who art truly dear to"
2,4,3-5,"And Maitreyi said: `What should I do with that by which I do not become immortal? What my Lord knoweth (of immortality), tell that to me'. Yagnavalkya replied: `Thou who art truly dear to me, thou speakest dear words. Come, sit down, I will explain it to thee, and mark well what I say.' And he said: `Verily, a husband is not dear, that"
2,4,4-6,"Yagnavalkya replied: `Thou who art truly dear to me, thou speakest dear words. Come, sit down, I will explain it to thee, and mark well what I say.' And he said: `Verily, a husband is not dear, that you may love the husband; but that you may love the Self, therefore a husband is dear. `Verily, a wife is not dear, that you may love the wife; but that you may love the Self, therefore a wife is dear. `Verily, sons are not dear, that you may love the sons; but that you may love the Self, therefore sons are dear. `Verily, wealth is not dear, that you may love wealth; but that you may love the Self, therefore wealth is dear. `Verily, the Brahman-class is not dear, that you may love the Brahman-class; but that you may love the Self, therefore the Brahman-class is dear. `Verily, the Kshatra-class is not dear, that you may love the Kshatra-class; but that you may love the Self, therefore the Kshatra-class is dear. `Verily, the worlds are not dear, that you may love the worlds; but that you may love the Self, therefore the worlds are dear. `Verily, the Devas are not dear, that you may love the Devas; but that you may love the Self, therefore the Devas are dear. `Verily, creatures are not dear, that you may love the creatures; but that you may love the Self, therefore are creatures dear. `Verily, everything is not dear that you may love everything; but that you may love the Self, therefore everything is dear. `Verily, the Self is to be seen, to be heard, to be perceived, to be marked, O Maitreyi! When we see, hear, perceive, and know the Self, then all this is known. `Whosoever looks for the Brahman-class"
2,4,5-7,"And he said: `Verily, a husband is not dear, that you may love the husband; but that you may love the Self, therefore a husband is dear. `Verily, a wife is not dear, that you may love the wife; but that you may love the Self, therefore a wife is dear. `Verily, sons are not dear, that you may love the sons; but that you may love the Self, therefore sons are dear. `Verily, wealth is not dear, that you may love wealth; but that you may love the Self, therefore wealth is dear. `Verily, the Brahman-class is not dear, that you may love the Brahman-class; but that you may love the Self, therefore the Brahman-class is dear. `Verily, the Kshatra-class is not dear, that you may love the Kshatra-class; but that you may love the Self, therefore the Kshatra-class is dear. `Verily, the worlds are not dear, that you may love the worlds; but that you may love the Self, therefore the worlds are dear. `Verily, the Devas are not dear, that you may love the Devas; but that you may love the Self, therefore the Devas are dear. `Verily, creatures are not dear, that you may love the creatures; but that you may love the Self, therefore are creatures dear. `Verily, everything is not dear that you may love everything; but that you may love the Self, therefore everything is dear. `Verily, the Self is to be seen, to be heard, to be perceived, to be marked, O Maitreyi! When we see, hear, perceive, and know the Self, then all this is known. `Whosoever looks for the Brahman-class elsewhere than in the Self, was abandoned by the Brahman-class. Whosoever looks for the Kshatra-class elsewhere than in the Self, was abandoned by the Kshatra-class. Whosoever looks for the worlds elsewhere than in the Self, was abandoned by the worlds. Whosoever looks for the Devas elsewhere than in the Self, was abandoned by the Devas. Whosoever looks for creatures elsewhere than in the Self, was abandoned by the creatures. Whosoever looks for anything elsewhere than in the Self, was abandoned by everything. This Brahman-class, this Kshatra-class, these worlds, these Devas, these creatures, this everything, all is that Self. `Now as the sounds of a drum, when beaten,"
2,4,6-8,"`Whosoever looks for the Brahman-class elsewhere than in the Self, was abandoned by the Brahman-class. Whosoever looks for the Kshatra-class elsewhere than in the Self, was abandoned by the Kshatra-class. Whosoever looks for the worlds elsewhere than in the Self, was abandoned by the worlds. Whosoever looks for the Devas elsewhere than in the Self, was abandoned by the Devas. Whosoever looks for creatures elsewhere than in the Self, was abandoned by the creatures. Whosoever looks for anything elsewhere than in the Self, was abandoned by everything. This Brahman-class, this Kshatra-class, these worlds, these Devas, these creatures, this everything, all is that Self. `Now as the sounds of a drum, when beaten, cannot be seized externally (by themselves), but the sound is seized, when the drum is seized or the beater of the drum; `And as the sounds of a conch-shell, when blown,"
2,4,7-9,"`Now as the sounds of a drum, when beaten, cannot be seized externally (by themselves), but the sound is seized, when the drum is seized or the beater of the drum; `And as the sounds of a conch-shell, when blown, cannot be seized externally (by themselves), but the sound is seized, when the shell is seized or the blower of the shell; `And as the sounds of a lute, when played, cannot"
2,4,8-10,"`And as the sounds of a conch-shell, when blown, cannot be seized externally (by themselves), but the sound is seized, when the shell is seized or the blower of the shell; `And as the sounds of a lute, when played, cannot be seized externally (by themselves), but the sound is seized, when the lute is seized or the player of the lute; `As clouds of smoke proceed by themselves out"
2,4,9-11,"`And as the sounds of a lute, when played, cannot be seized externally (by themselves), but the sound is seized, when the lute is seized or the player of the lute; `As clouds of smoke proceed by themselves out of a lighted fire kindled with damp fuel, thus, verily, O Maitreyi, has been breathed forth from this great Being what we have as Rig-veda, Yagur-veda, Sama-veda, Atharvangirasas, Itihasa (legends), Purana (cosmogonies), Vidya (knowledge), the Upanishads, Slokas (verses), Sutras (prose rules), Anuvyakhyanas (glosses), Vyakhyanas (commentaries). From him alone all these were breathed forth. `As all waters find their centre in the sea, all"
2,4,10-12,"`As clouds of smoke proceed by themselves out of a lighted fire kindled with damp fuel, thus, verily, O Maitreyi, has been breathed forth from this great Being what we have as Rig-veda, Yagur-veda, Sama-veda, Atharvangirasas, Itihasa (legends), Purana (cosmogonies), Vidya (knowledge), the Upanishads, Slokas (verses), Sutras (prose rules), Anuvyakhyanas (glosses), Vyakhyanas (commentaries). From him alone all these were breathed forth. `As all waters find their centre in the sea, all touches in the skin, all tastes in the tongue, all smells in the nose, all colours in the eye, all sounds in the ear, all percepts in the mind, all knowledge in the heart, all actions in the hands, all movements in the feet, and all the Vedas in speech, `As a lump of salt, when thrown into water,"
2,4,11-13,"`As all waters find their centre in the sea, all touches in the skin, all tastes in the tongue, all smells in the nose, all colours in the eye, all sounds in the ear, all percepts in the mind, all knowledge in the heart, all actions in the hands, all movements in the feet, and all the Vedas in speech, `As a lump of salt, when thrown into water, becomes dissolved into water, and could not be taken out again, but wherever we taste (the water) it is salt, thus verily, O Maitreyi, does this great Being, endless, unlimited, consisting of nothing but knowledge, rise from out these elements, and vanish again in them. When he has departed, there is no more knowledge (name), I say, O Maitreyi.'Thus spoke Yagnavalkya. Then Maitreyi said: `Here thou hast bewildered"
2,4,12-13,"`As a lump of salt, when thrown into water, becomes dissolved into water, and could not be taken out again, but wherever we taste (the water) it is salt, thus verily, O Maitreyi, does this great Being, endless, unlimited, consisting of nothing but knowledge, rise from out these elements, and vanish again in them. When he has departed, there is no more knowledge (name), I say, O Maitreyi.'Thus spoke Yagnavalkya. Then Maitreyi said: `Here thou hast bewildered me, Sir, when thou sayest that having departed, there is no more knowledge.' But Yagnavalkya replied: `O Maitreyi, I say nothing that is bewildering. This is enough, O beloved, for wisdom. `For when there is as it were duality, then one sees the other, one smells the other, one hears the other, one salutes the other, one perceives the other, one knows the other; but when the Self only is all this, how should he smell another, how should he see another, how should he hear another, how should he salute another, how should he perceive another, how should he know another?_ How should he know Him by whom he knows all this? How, O beloved should he know (himself), the Knower?'"
2,5,1-3,"This earth is the honey (madhu, the effect) of all beings, and all beings are the honey (madhu, the effect) of this earth. Likewise this bright, immortal person in this earth, and that bright immortal person incorporated in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This water is the honey of all beings, and all beings are the honey of this water. Likewise this bright, immortal person in this water, and that bright, immortal person, existing as seed in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This fire is the honey of all beings, and all beings"
2,5,2-4,"This water is the honey of all beings, and all beings are the honey of this water. Likewise this bright, immortal person in this water, and that bright, immortal person, existing as seed in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This fire is the honey of all beings, and all beings are the honey of this fire. Likewise this bright, immortal person in this fire, and that bright, immortal person, existing as speech in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This air is the honey of all beings, and all beings"
2,5,3-5,"This fire is the honey of all beings, and all beings are the honey of this fire. Likewise this bright, immortal person in this fire, and that bright, immortal person, existing as speech in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This air is the honey of all beings, and all beings are the honey of this air. Likewise this bright, immortal person in this air, and that bright, immortal person existing as breath in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This sun is the honey of all beings, and all beings"
2,5,4-6,"This air is the honey of all beings, and all beings are the honey of this air. Likewise this bright, immortal person in this air, and that bright, immortal person existing as breath in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This sun is the honey of all beings, and all beings are the honey of this sun. Likewise this bright, immortal person in this sun, and that bright, immortal person existing as the eye in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This space (disah, the quarters) is the honey of all"
2,5,5-7,"This sun is the honey of all beings, and all beings are the honey of this sun. Likewise this bright, immortal person in this sun, and that bright, immortal person existing as the eye in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This space (disah, the quarters) is the honey of all beings, and all beings are the honey of this space. Likewise this bright, immortal person in this space, and that bright, immortal person existing as the ear in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This moon is the honey of all beings, and all"
2,5,6-8,"This space (disah, the quarters) is the honey of all beings, and all beings are the honey of this space. Likewise this bright, immortal person in this space, and that bright, immortal person existing as the ear in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This moon is the honey of all beings, and all beings are the honey of this moon. Likewise this bright, immortal person in this moon, and that bright, immortal person existing as mind in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This lightning is the honey of all beings, and all"
2,5,7-9,"This moon is the honey of all beings, and all beings are the honey of this moon. Likewise this bright, immortal person in this moon, and that bright, immortal person existing as mind in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This lightning is the honey of all beings, and all beings are the honey of this lightning. Likewise this bright, immortal person in this lightning, and that bright, immortal person existing as light in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This thunder is the honey of all beings, and all"
2,5,8-10,"This lightning is the honey of all beings, and all beings are the honey of this lightning. Likewise this bright, immortal person in this lightning, and that bright, immortal person existing as light in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This thunder is the honey of all beings, and all beings are the honey of this thunder. Likewise this bright, immortal person in this thunder, and that bright, immortal person existing as sound and voice in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This ether is the honey of all beings, and all"
2,5,9-11,"This thunder is the honey of all beings, and all beings are the honey of this thunder. Likewise this bright, immortal person in this thunder, and that bright, immortal person existing as sound and voice in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This ether is the honey of all beings, and all beings are the honey of this ether. Likewise this bright, immortal person in this ether, and that bright, immortal person existing as heart-ether in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This law (dharmah) is the honey of all beings,"
2,5,10-12,"This ether is the honey of all beings, and all beings are the honey of this ether. Likewise this bright, immortal person in this ether, and that bright, immortal person existing as heart-ether in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This law (dharmah) is the honey of all beings, and all beings are the honey of this law. Likewise this bright, immortal person in this law, and that bright, immortal person existing as law in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This true (satyam) is the honey of all beings, and"
2,5,11-13,"This law (dharmah) is the honey of all beings, and all beings are the honey of this law. Likewise this bright, immortal person in this law, and that bright, immortal person existing as law in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This true (satyam) is the honey of all beings, and all beings are the honey of this true. Likewise this bright, immortal person in what is true, and that bright, immortal person existing as the true in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This mankind is the honey of all beings, and all"
2,5,12-14,"This true (satyam) is the honey of all beings, and all beings are the honey of this true. Likewise this bright, immortal person in what is true, and that bright, immortal person existing as the true in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This mankind is the honey of all beings, and all beings are the honey of this mankind. Likewise this bright, immortal person in mankind, and that bright, immortal person existing as man in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This Self is the honey of all beings, and all beings"
2,5,13-15,"This mankind is the honey of all beings, and all beings are the honey of this mankind. Likewise this bright, immortal person in mankind, and that bright, immortal person existing as man in the body (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. This Self is the honey of all beings, and all beings are the honey of this Self. Likewise this bright, immortal person in this Self, and that bright, immortal person, the Self (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. And verily this Self is the lord of all beings, the"
2,5,14-16,"This Self is the honey of all beings, and all beings are the honey of this Self. Likewise this bright, immortal person in this Self, and that bright, immortal person, the Self (both are madhu). He indeed is the same as that Self, that Immortal, that Brahman, that All. And verily this Self is the lord of all beings, the king of all beings. And as all spokes are contained in the axle and in the felly of a wheel, all beings, and all those selfs (of the earth, water, &c.) are contained in that Self. Verily Dadhyak Atharvana proclaimed this honey"
2,5,15-17,"And verily this Self is the lord of all beings, the king of all beings. And as all spokes are contained in the axle and in the felly of a wheel, all beings, and all those selfs (of the earth, water, &c.) are contained in that Self. Verily Dadhyak Atharvana proclaimed this honey (the madhu-vidya) to the two Asvins, and a Rishi, seeing this, said (Rv. I, 116, 12): `O ye two heroes (Asvins), I make manifest that fearful deed of yours (which you performed) for the sake of gain, like as thunder makes manifest the rain. The honey (madhu-vidya) which Dadhyak Atharvana proclaimed to you through the head of a horse,'... Verily Dadhyak Atharvana proclaimed this honey"
2,5,16-18,"Verily Dadhyak Atharvana proclaimed this honey (the madhu-vidya) to the two Asvins, and a Rishi, seeing this, said (Rv. I, 116, 12): `O ye two heroes (Asvins), I make manifest that fearful deed of yours (which you performed) for the sake of gain, like as thunder makes manifest the rain. The honey (madhu-vidya) which Dadhyak Atharvana proclaimed to you through the head of a horse,'... Verily Dadhyak Atharvana proclaimed this honey to the two Asvins, and a Rishi, seeing this, said (Rv. I, 117, 22): `O Asvins, you fixed a horse's head on Atharvana Dadhyak, and he, wishing to be true (to his promise), proclaimed to you the honey, both that of Tvashtri and that which is to be your secret, O ye strong ones.' Verily Dadhyak Atharvana proclaimed this honey"
2,5,17-19,"Verily Dadhyak Atharvana proclaimed this honey to the two Asvins, and a Rishi, seeing this, said (Rv. I, 117, 22): `O Asvins, you fixed a horse's head on Atharvana Dadhyak, and he, wishing to be true (to his promise), proclaimed to you the honey, both that of Tvashtri and that which is to be your secret, O ye strong ones.' Verily Dadhyak Atharvana proclaimed this honey to the two Asvins, and a Rishi, seeing this, said: `He (the Lord) made bodies with two feet, he made bodies with four feet. Having first become a bird, he entered the bodies as purusha (as the person).' This very purusha is in all bodies the purisaya, i.e. he who lies in the body (and is therefore called purusha). There is nothing that is not covered by him, nothing that is not filled by him. Verily Dadhyak Atharvana proclaimed this honey"
2,5,18-19,"Verily Dadhyak Atharvana proclaimed this honey to the two Asvins, and a Rishi, seeing this, said: `He (the Lord) made bodies with two feet, he made bodies with four feet. Having first become a bird, he entered the bodies as purusha (as the person).' This very purusha is in all bodies the purisaya, i.e. he who lies in the body (and is therefore called purusha). There is nothing that is not covered by him, nothing that is not filled by him. Verily Dadhyak Atharvana proclaimed this honey to the two Asvins, and a Rishi, seeing this, said (Rv. VI, 47, 18): `He (the Lord) became like unto every form, and this is meant to reveal the (true) form of him (the Atman). Indra (the Lord) appears multiform through the Mayas (appearances), for his horses (senses) are yoked, hundreds and ten.' This (Atman) is the horses, this (Atman) is the ten, and the thousands, many and endless. This is the Brahman, without cause and without effect, without anything inside or outside; this Self is Brahman, omnipresent and omniscient. This is the teaching (of the Upanishads)."
2,6,1-3,"Now follows the stem: 1. Pautimashya from Gaupavana, 2. Gaupavana from Pautimashya, 3. Pautimashya from Gaupavana, 4. Gaupavana from Kausika, 5. Kausika from Kaufaundinya, 6. Kaundinya from Sandilya, 7. Sandilya from Kausika and Gautama, 8. Gautama from Agnivesya, 9. Agnivesya from Sandilya and Anabhimlata, 10. Sandilya and Anabhimlata from Anabhimlata, 11. Anabhimlata from Anabhimlata, 12. Anabhimlata from Gautama, 13. Gautama from Saitava and Prakinayogya, 14. Saitava and Prakinayogya from Parasarya, 15. Parasarya from Bharadvaga, 16. Bharadvaga from Bharadvaga and Gautama, 17. Gautama from Bharadvaga, 18. Bharadvaga from Parasarya, 19. Parasarya from Vaigavapayana, 20. Vaigavapayana from Kausikayani, 21. Kausikayani from Ghritakausika,"
2,6,2-3,"from Agnivesya, 9. Agnivesya from Sandilya and Anabhimlata, 10. Sandilya and Anabhimlata from Anabhimlata, 11. Anabhimlata from Anabhimlata, 12. Anabhimlata from Gautama, 13. Gautama from Saitava and Prakinayogya, 14. Saitava and Prakinayogya from Parasarya, 15. Parasarya from Bharadvaga, 16. Bharadvaga from Bharadvaga and Gautama, 17. Gautama from Bharadvaga, 18. Bharadvaga from Parasarya, 19. Parasarya from Vaigavapayana, 20. Vaigavapayana from Kausikayani, 21. Kausikayani from Ghritakausika, 22. Ghritakausika from Parasaryayana, 23. Parasaryayana from Parasarya, 24. Parasarya from Gatukarnya, 25. Gatukarnya from Asurayana and Yaska, 26. Asurayana and Yaska from Traivani, 27. Traivani from Aupagandhani, 28. Aupagandhani from Asuri, 29. Asuri from Bharadvaga, 30. Bharadvaga from Atreya, 31. Atreya from Manti, 32. Manti from Gautama, 33. Gautama from Gautama, 34. Gautama from Vatsya, 35. Vatsya from Sandilya, 36. Sandilya from Kaisorya Kapya, 37. Kaisorya Kapya from Kumaraharita, 38. Kumaraharita from Galava, 39. Galava from Vidarbhi-kaundinya, 40. Vidarbhi-kaundinya from Vatsanapat Babhrava, 41. Vatsanapat Babhrava from Pathi Saubhara, 42. Pathi Saubhara from Ayasya Angirasa, 43. Ayasya Angirasa from Abhuti Tvashtra, 44. Abhuti Tvashtra from Visvarupa Tvashtra, 45. Visvarupa Tvashtra from Asvinau, 46. Asvinau from Dadhyak Atharvana, 47. Dadhyak Atharvana from Atharvan Daiva, 48. Atharvan Daiva from Mrityu Pradhvamsana, 49. Mrityu Pradhvamsana from Pradhvamsana, 50. Pradhvamsana from Ekarshi, 51. Ekarshi from Viprakitti, 52. Viprakitti from Vyashti, 53. Vyashti from Sanaru, 54. Sanaru from Sanatana, 55. Sanatana from Sanaga, 56. Sanaga from Parameshthin, 57. Parameshthin from Brahman, 58. Brahman is Svayambhu, self-existent. Adoration to Brahman.  Adoration to the Highest Self (Paramatman)!"
3,1,1-3,"Ganaka Vaideha (the king of the Videhas) sacrificed with a sacrifice at which many presents were the Kurus and the Pankalas had come thither, and Ganaka Vaideha wished to know, which of those thousand cows, and ten padas (of gold) were fastened to each pair of horns. And Ganaka spoke to them: `Ye venerable drive away these cows.' to his pupil: `Drive them away, my dear.' He replied: `O glory of the Saman,' and drove them away. call himself the wisest among us?' Now there was Asvala, the Hotri priest of Ganaka Vaideha. He asked him: `Are you indeed the wisest among us, O Yagnavalkya?' He replied: `I bow before the wisest (the best knower of Brahman), but I wish indeed to have these cows.' Then Asvala, the Hotri priest, undertook to question him. `Yagnavalkya,' he said, `everything here"
3,1,2-4,"And Ganaka spoke to them: `Ye venerable drive away these cows.' to his pupil: `Drive them away, my dear.' He replied: `O glory of the Saman,' and drove them away. call himself the wisest among us?' Now there was Asvala, the Hotri priest of Ganaka Vaideha. He asked him: `Are you indeed the wisest among us, O Yagnavalkya?' He replied: `I bow before the wisest (the best knower of Brahman), but I wish indeed to have these cows.' Then Asvala, the Hotri priest, undertook to question him. `Yagnavalkya,' he said, `everything here (connected with the sacrifice) is reached by death, everything is overcome by death. By what means then is the sacrificer freed beyond the reach of death?' Yagnavalkya said: `By the Hotri priest, who is Agni (fire), who is speech. For speech is the Hotri of the sacrifice (or the sacrificer), and speech is Agni, and he is the Hotri. This constitutes freedom, and perfect freedom (from death).' `Yagnavalkya,' he said, `everything here is"
3,1,3-5,"`Yagnavalkya,' he said, `everything here (connected with the sacrifice) is reached by death, everything is overcome by death. By what means then is the sacrificer freed beyond the reach of death?' Yagnavalkya said: `By the Hotri priest, who is Agni (fire), who is speech. For speech is the Hotri of the sacrifice (or the sacrificer), and speech is Agni, and he is the Hotri. This constitutes freedom, and perfect freedom (from death).' `Yagnavalkya,' he said, `everything here is reached by day and night, everything is overcome by day and night. By what means then is the sacrificer freed beyond the reach of day and night?' Yagnavalkya said: `By the Adhvaryu priest, who is the eye, who is Aditya (the sun). For the eye is the Adhvaryu of the sacrifice, and the eye is the sun, and he is the Adhvaryu. This constitutes freedom, and perfect freedom.' `Yagnavalkya,' he said, `everything here is"
3,1,4-6,"`Yagnavalkya,' he said, `everything here is reached by day and night, everything is overcome by day and night. By what means then is the sacrificer freed beyond the reach of day and night?' Yagnavalkya said: `By the Adhvaryu priest, who is the eye, who is Aditya (the sun). For the eye is the Adhvaryu of the sacrifice, and the eye is the sun, and he is the Adhvaryu. This constitutes freedom, and perfect freedom.' `Yagnavalkya,' he said, `everything here is reached by the waxing and waning of the moon, everything is overcome by the waxing and waning of the moon. By what means then is the sacrificer freed beyond the reach of the waxing and waning of the moon?' Yagnavalkya said: `By the Udgatri priest, who is Vayu (the wind), who is the breath. For the breath is the Udgatri of the sacrifice, and the breath is the wind, and he is the Udgatri. This constitutes freedom, and perfect freedom.' `Yagnavalkya,' he said, `this sky is, as it were,"
3,1,5-7,"`Yagnavalkya,' he said, `everything here is reached by the waxing and waning of the moon, everything is overcome by the waxing and waning of the moon. By what means then is the sacrificer freed beyond the reach of the waxing and waning of the moon?' Yagnavalkya said: `By the Udgatri priest, who is Vayu (the wind), who is the breath. For the breath is the Udgatri of the sacrifice, and the breath is the wind, and he is the Udgatri. This constitutes freedom, and perfect freedom.' `Yagnavalkya,' he said, `this sky is, as it were, without an ascent (staircase.) By what approach does the sacrificer approach the Svarga world?' Yagnavalkya said: `By the Brahman priest, who is the mind (manas), who is the moon. For the mind is the Brahman of the sacrifice, and the mind is the moon, and he is the Brahman. This constitutes freedom, and perfect freedom. These are the complete deliverances (from death).' Next follow the achievements. `Yagnavalkya,' he said, `how many Rik verses will"
3,1,6-8,"`Yagnavalkya,' he said, `this sky is, as it were, without an ascent (staircase.) By what approach does the sacrificer approach the Svarga world?' Yagnavalkya said: `By the Brahman priest, who is the mind (manas), who is the moon. For the mind is the Brahman of the sacrifice, and the mind is the moon, and he is the Brahman. This constitutes freedom, and perfect freedom. These are the complete deliverances (from death).' Next follow the achievements. `Yagnavalkya,' he said, `how many Rik verses will the Hotri priest employ to-day at this sacrifice?' `Three,' replied Yagnavalkya. `And what are these three?' `Those which are called Puronuvakya, Yagya, and, thirdly, Sasya.' `What does he gain by them?' `All whatsoever has breath.' `Yagnavalkya,' he said, `how many oblations"
3,1,7-9,"`Yagnavalkya,' he said, `how many Rik verses will the Hotri priest employ to-day at this sacrifice?' `Three,' replied Yagnavalkya. `And what are these three?' `Those which are called Puronuvakya, Yagya, and, thirdly, Sasya.' `What does he gain by them?' `All whatsoever has breath.' `Yagnavalkya,' he said, `how many oblations (ahuti) will the Adhvaryu priest employ to-day at this sacrifice?' `Three,' replied Yagnavalkya. `And what are these three?' `Those which, when offered, flame up; those which, when offered, make an excessive noise; and those which, when offered, sink down.'`What does he gain by them?' `By those which, when offered, flame up, he gains the Deva (god) world, for the Deva world flames up, as it were. By those which, when offered, make an excessive noise, he gains the Pitri (father) world, for the Pitri world is excessively (noisy). By those which, when offered, sink down, he gains the Manushya (man) world, for the Manushya world is, as it were, down below.' `Yagnavalkya,' he said, `with how many deities"
3,1,8-10,"`Yagnavalkya,' he said, `how many oblations (ahuti) will the Adhvaryu priest employ to-day at this sacrifice?' `Three,' replied Yagnavalkya. `And what are these three?' `Those which, when offered, flame up; those which, when offered, make an excessive noise; and those which, when offered, sink down.'`What does he gain by them?' `By those which, when offered, flame up, he gains the Deva (god) world, for the Deva world flames up, as it were. By those which, when offered, make an excessive noise, he gains the Pitri (father) world, for the Pitri world is excessively (noisy). By those which, when offered, sink down, he gains the Manushya (man) world, for the Manushya world is, as it were, down below.' `Yagnavalkya,' he said, `with how many deities does the Brahman priest on the right protect to-day this sacrifice?' `By one,' replied Yagnavalkya. `And which is it?' `The mind alone; for the mind is endless, and the Visvedevas are endless, and he thereby gains the endless world.' `Yagnavalkya,' he said, `how many Stotriya"
3,1,9-10,"`Yagnavalkya,' he said, `with how many deities does the Brahman priest on the right protect to-day this sacrifice?' `By one,' replied Yagnavalkya. `And which is it?' `The mind alone; for the mind is endless, and the Visvedevas are endless, and he thereby gains the endless world.' `Yagnavalkya,' he said, `how many Stotriya hymns will the Udgatri priest employ to-day at this sacrifice?' `Three,' replied Yagnavalkya. `And what are these three?' `Those which are called Puronuvakya, Yagya, and, thirdly, Sasya.' `And what are these with regard to the body (adhyatmam)?' `The Puronuvakya is Prana (up-breathing), the Yagya the Apana (down-breathing), the Sasya the Vyana (back-breathing).' `What does he gain by them?' `He gains the earth by the Puronuvakya, the sky by the Yagya, heaven by the Sasya.' After that Asvala held his peace."
3,2,1-3,"Then Garatkarava Artabhaga asked. `Yagnavalkya,' he said, `how many Grahas are there, and how many Atigrahas?' `Eight Grahas,' he replied, `and eight Atigrahas.' `And what are these eight Grahas and eight Atigrahas?' `Prana (breath) is one Graha, and that is seized by Apana (down-breathing) as the Atigraha, for one smells with the Apana.' `Speech (vak) is one Graha, and that is seized by"
3,2,2-4,"`Prana (breath) is one Graha, and that is seized by Apana (down-breathing) as the Atigraha, for one smells with the Apana.' `Speech (vak) is one Graha, and that is seized by name (naman) as the Atigraha, for with speech one pronounces names.' `The tongue is one Graha, and that is seized by"
3,2,3-5,"`Speech (vak) is one Graha, and that is seized by name (naman) as the Atigraha, for with speech one pronounces names.' `The tongue is one Graha, and that is seized by taste as the Atigraha, for with the tongue one perceives tastes.' `The eye is one Graha, and that is seized by form"
