Chapter/Adhyaya,VerseRange,Text
6,7-9," Let us know that highest great lord of lords, the highest deity of deities, the master of masters, the highest above, as god, the lord of the world, the adorable.  There is no effect and no cause known of him, no one is seen like unto him or better; his high power is revealed as manifold, as inherent, acting as force and knowledge.  There is no master of his in the world, no ruler of his,"
6,8-10," There is no effect and no cause known of him, no one is seen like unto him or better; his high power is revealed as manifold, as inherent, acting as force and knowledge.  There is no master of his in the world, no ruler of his, not even a sign of him. He is the cause, the lord of the lords of the organs, and there is of him neither parent nor lord.  That only god who spontaneously covered himself,"
6,9-11," There is no master of his in the world, no ruler of his, not even a sign of him. He is the cause, the lord of the lords of the organs, and there is of him neither parent nor lord.  That only god who spontaneously covered himself, like a spider, with threads drawn from the first cause (pradhana), grant us entrance into Brahman.  He is the one God, hidden in all beings, allpervading, the self within all beings, watching over all"
6,10-12," That only god who spontaneously covered himself, like a spider, with threads drawn from the first cause (pradhana), grant us entrance into Brahman.  He is the one God, hidden in all beings, allpervading, the self within all beings, watching over all works, dwelling in all beings, the witness, the perceiver, the only one, free from qualities.  He is the one ruler of many who (seem to act, but"
6,11-13," He is the one God, hidden in all beings, allpervading, the self within all beings, watching over all works, dwelling in all beings, the witness, the perceiver, the only one, free from qualities.  He is the one ruler of many who (seem to act, but really do) not act; he makes the one seed manifold. The wise who perceive him within their self, to them belongs eternal happiness, not to others.  He is the eternal among eternals, the thinker"
6,12-14," He is the one ruler of many who (seem to act, but really do) not act; he makes the one seed manifold. The wise who perceive him within their self, to them belongs eternal happiness, not to others.  He is the eternal among eternals, the thinker among thinkers, who, though one, fulfils the desires of many. He who has known that cause which is to be apprehended by Sankhya (philosophy) and Yoga (religious discipline), he is freed from all fetters.  The sun does not shine there, nor the moon and"
6,13-15," He is the eternal among eternals, the thinker among thinkers, who, though one, fulfils the desires of many. He who has known that cause which is to be apprehended by Sankhya (philosophy) and Yoga (religious discipline), he is freed from all fetters.  The sun does not shine there, nor the moon and the stars, nor these lightnings, and much less this fire. When he shines, everything shines after him; by his light all this is lightened.  He is the one bird in the midst of the world; he is"
6,14-16," The sun does not shine there, nor the moon and the stars, nor these lightnings, and much less this fire. When he shines, everything shines after him; by his light all this is lightened.  He is the one bird in the midst of the world; he is also (like) the fire (of the sun) that has set in the ocean. A man who knows him truly, passes over death; there is no other path to go.  He makes all, he knows all, the self-caused, the"
6,15-17," He is the one bird in the midst of the world; he is also (like) the fire (of the sun) that has set in the ocean. A man who knows him truly, passes over death; there is no other path to go.  He makes all, he knows all, the self-caused, the knower, the time of time (destroyer of time), who assumes qualities and knows everything, the master of nature and of man, the lord of the three qualities (guna), the cause of the bondage, the existence, and the liberation of the world.  He who has become that, he is the immortal,"
6,16-18," He makes all, he knows all, the self-caused, the knower, the time of time (destroyer of time), who assumes qualities and knows everything, the master of nature and of man, the lord of the three qualities (guna), the cause of the bondage, the existence, and the liberation of the world.  He who has become that, he is the immortal, remaining the lord, the knower, the ever-present guardian of this world, who rules this world for ever, for no one else is able to rule it.  Seeking for freedom I go for refuge to that God who"
6,17-19," He who has become that, he is the immortal, remaining the lord, the knower, the ever-present guardian of this world, who rules this world for ever, for no one else is able to rule it.  Seeking for freedom I go for refuge to that God who is the light of his own thoughts, he who first creates Brahman (m.) and delivers the Vedas to him;  Who is without parts, without actions, tranquil,"
6,18-20," Seeking for freedom I go for refuge to that God who is the light of his own thoughts, he who first creates Brahman (m.) and delivers the Vedas to him;  Who is without parts, without actions, tranquil, without fault, without taint, the highest bridge to immortality like a fire that has consumed its fuel.  Only when men shall roll up the sky like a hide, will"
6,19-21," Who is without parts, without actions, tranquil, without fault, without taint, the highest bridge to immortality like a fire that has consumed its fuel.  Only when men shall roll up the sky like a hide, will there be an end of misery, unless God has first been known.  Through the power of his penance and through the"
6,20-22," Only when men shall roll up the sky like a hide, will there be an end of misery, unless God has first been known.  Through the power of his penance and through the grace of God has the wise Svetasvatara truly proclaimed Brahman, the highest and holiest, to the best of ascetics, as approved by the company of Rishis.  This highest mystery in the Vedanta, delivered in a"
6,21-23," Through the power of his penance and through the grace of God has the wise Svetasvatara truly proclaimed Brahman, the highest and holiest, to the best of ascetics, as approved by the company of Rishis.  This highest mystery in the Vedanta, delivered in a former age, should not be given to one whose passions have not been subdued, nor to one who is not a son, or who is not a pupil.  If these truths have been told to a high-minded"
6,22-4," This highest mystery in the Vedanta, delivered in a former age, should not be given to one whose passions have not been subdued, nor to one who is not a son, or who is not a pupil.  If these truths have been told to a high-minded man, who feels the highest devotion for God, and for his Guru as for God, then they will shine forth, then they will shine forth indeed. Commentary  Note: These two verses are again extremely"
