Chapter,PageStart,Verse,Text
XIII,184,35c,"At that time Śāriputra spoke to the daughter of the nāga king, saying: “You say that you will soon attain the highest path. This is difficult to believe. Why is this? The female body is polluted; it is not a ﬁt vessel for the Dharma. How can you attain highest enlightenment? “The buddha path is long. One can only attain it after diligently carrying out severe practices, and completely practicing the perfections over immeasurable kalpas. Moreover, the female body has ﬁve obstructions. The ﬁrst is the inability to become a great Brahma. The second is the inability to become Śakra. The third is the inability to become Māra, and the fourth is the inability to become a universal monarch (cakravartin). The ﬁfth is the inability to become a buddha. How can you with your female body quickly become a buddha?” Then the daughter of the nāga king presented to the Buddha a jewel worth the great manifold cosmos, and the Buddha accepted it. The daughter of the nāga king spoke to Bodhisattva Prajñākūṭa and the noble Śāriputra, saying: “I offered a jewel and the Bhagavat accepted it. Was that done quickly or not?” They answered, saying: “It was done extremely quickly!” The daughter said: “Through your transcendent powers watch me become a buddha even more quickly than that!” Then the assembly there all saw the daughter of the nāga king instantly transform into a man, perfect the bodhisattva practices, go to the vimalā world in the south, sit on a jeweled lotus ﬂower, and attain highest, complete enlightenment, become endowed with the thirty-two marks and eighty excellent characteristics, and expound the True Dharma universally for the sake of all sentient beings in the ten directions. Then the bodhisattvas, śrāvakas, eight kinds of devas, nāgas, and so on, humans and nonhumans of the sahā world, all saw in the distance that the daughter of the nāga king had become a buddha and was universally teaching the Dharma for the sake of the humans and devas in that assembly. They rejoiced greatly and honored her from afar. On hearing the Dharma, incalculable numbers of sentient beings became enlightened and attained the stage of nonretrogression. Incalculable numbers of sentient beings received their predictions to the path and the vimalā world quaked in six ways. In the sahā world three thousand sentient beings attained the stage of nonretrogression, and three thousand sentient beings, in whom the thought of enlightenment had awakened, received their predictions. The Bodhisattva Prajñākūṭa, Śāriputra, and the entire assembly accepted and believed in silence. Perseverance At that time Bodhisattva Mahāsattva Bhaiṣajyarāja and Bodhisattva Mahāsattva Mahāpratibhāna made this declaration in the presence of the Buddha, together with two thousand bodhisattvas: “O Bhagavat! We entreat you not to be concerned since, after the Buddha’s parinirvāṇa we will preserve, recite, and teach this [Lotus] Sutra! In the troubled world to come, sentient beings will have hardly any roots of good merit but will have excessive pride and will be greedy to receive offerings. They will increase their roots of bad merit and thus will be far away from liberation. It will be difficult to lead and inspire them. Therefore, we will produce the power of great patience and recite, preserve, teach, and copy this sutra as well as pay it homage in various ways, even willingly giving up our bodies and lives.” Then in the assembly, ﬁve hundred arhats who had received their predictions addressed the Buddha, saying: “O Bhagavat! We also declare that in other lands we will extensively teach this sutra.” Moreover, eight thousand of those who had received their predictions, including those who had more to learn and those who did not, rose from their seats and with their palms pressed together, faced the Buddha and made this declaration: “O Bhagavat! We also will extensively teach this sutra in other lands. Why is this? Because in the sahā world there are many erring people, with excessive pride and superﬁcial virtue, those who are quick to anger, deceitful, and untrue.” Thereupon the Buddha’s aunt, the nun Mahāprajāpatī Gautamī, with six thousand nuns, some of whom had more to learn and some who did not, rose from their seats and with their palms pressed together gazed attentively at the Buddha, never turning their eyes away. Then the Bhagavat spoke to Mahāprajāpatī Gautamī, saying: “Why are you anxiously staring at the Tathāgata? Are you thinking that I have not given you your prediction of highest, complete enlightenment? O"
XIII,188,36b,"Mahāprajāpatī Gautamī! I have previously said that all of the śrāvakas would receive their predictions. Now if you wish to know your prediction, I will tell you that in the future you will become a great expounder of the Dharma, taught by sixty-eight thousand koṭis of buddhas. These six thousand nuns, some of whom have more to learn and some who do not, will all become expounders of the Dharma together. In this way you will gradually be able to complete the bodhisattva path and become a buddha called Sarvarūpasaṃdarśana, a Tathāgata, Arhat, Completely Enlightened, Perfect in Knowledge and Conduct, Well-Departed, Knower of the World, Unsurpassed, Tamer of Humans, Teacher of Devas and Humans, Buddha, Bhagavat. O Mahāprajāpatī Gautamī! This Buddha Sarvarūpasaṃdarśana will give predictions of highest, complete enlightenment one by one to bodhisattvas totaling six thousand in number.” Then the nun Yaśodharā, the mother of Rāhula, thought this: “While giving the predictions, the only name the Bhagavat did not mention was mine.” The Buddha addressed Yaśodharā, saying: “In the future you will cultivate the bodhisattva practice of the teachings of hundreds of thousands of myriads of koṭis of buddhas. You will become a great expounder of the Dharma, and gradually complete the buddha path. In a land called Bhadrā you will become a buddha called Raśmiśatasahasraparipūrṇadhvaja, a Tathāgata, Arhat, Completely Enlightened, Perfect in Knowledge and Conduct, Well-Departed, Knower of the World, Unsurpassed, Tamer of Humans, Teacher of Devas and Humans, Buddha, Bhagavat. This buddha’s lifespan will be for immeasurable, incalculable kalpas.” At that time the nun Mahāprajāpatī Gautamī and the nun Yaśodharā together with their attendants all rejoiced greatly at having attained such an unprecedented experience. In the presence of the Buddha they immediately spoke in verse, saying: O Bhagavat! As a great leader You bring ease to devas and humans. Having heard our predictions, Our minds are at peace And we are content. Having spoken this verse all the nuns addressed the Buddha, saying: “O Bhagavat! We also will extensively expound this sutra in other lands.” Then the Bhagavat saw eighty myriads of koṭis of nayutas of bodhisattva mahāsattvas, all of whom were at the stage of nonretrogression. They had turned the irreversible wheel of the Dharma and attained the power of recollection. Arising from their seats they went before the Buddha with their palms pressed together and with this wholehearted thought: “If the Bhagavat commands us to preserve and teach this sutra, then we will extensively expound this Dharma exactly as the Buddha has taught.” They also thought: “The Buddha now keeps silent and does not command us. What should we do?” Then all of the bodhisattvas, respecting the Buddha’s intention and also wanting to fulﬁll their original vow, uttered a lion’s roar in the presence of the Buddha and declared: “O Bhagavat! After the Tathāgata’s parinirvāṇa we will roam throughout the worlds of the ten directions enabling sentient beings to copy, preserve, and recite this [Lotus] Sutra, and to explain its meaning, practice it according to the Dharma, and remember it correctly. This will all be due to the Buddha’s majestic power. “O Bhagavat! We entreat you to protect us from afar while we are in other quarters.” Immediately after that, all of the bodhisattvas spoke these verses in unison: We entreat you not to be concerned Because we will extensively teach In the fearful, troubled world, After the Buddha’s parinirvāṇa. We will be patient With those who are ignorant, Those who disparage others with evil words, Or who attack us with sticks and swords. Monks in this troubled world Will have false wisdom And be deceitful. They will think they have attained What they have not, and their minds Will be full of conceit. Then there will be those who dwell In tranquil forests wearing rags, With the thought that they alone practice the true path, And who look down on those who lead worldly lives. There will be those who teach the Dharma To laypeople only out of greed for offerings, Yet they will be respected in the world As if they were arhats endowed with The six transcendent powers. The minds of such people are in error; They are always thinking about worldly matters; And they enjoy pointing out our faults, Playing the role of the forest dwellers, Thus they will say such things as:"
XIII,190,36c,"All of these monks here Teach heretical doctrines Because they are greedy for proﬁt! They have fabricated this sutra To deceive the people of the world, And they explain this sutra Out of desire for fame! They always want to slander us In the great assembly; They slander us to the kings, Ministers, brahmans, householders, And to other monks, saying that we are evil. They say: These are people of false views Who teach heretical doctrines. Since we revere the Buddha, We will be patient with their wickedness. They will mockingly address us, saying: All you buddhas! We will be patient with These scornful words. In the troubled world of the Age of [the Decadent Dharma] There are many fearful things. People possessed by evil spirits Will scorn and slander us. But we shall wear the armor of patience Because we trust and revere the Buddha; And we will persevere under these difficulties In order to teach this sutra. We will not be attached to our bodies or lives We only desire the highest path. In the future we will preserve What the Buddha has entrusted us with. The Bhagavat himself must know That the erring monks in the troubled world Will not understand the Dharma Taught by the Buddha through skillful means, According to what is appropriate to sentient beings. They will utter evil words with angry countenances, And they will repeatedly expel us, And keep us away from the monasteries and stupas. There will be many evils such as this. We will all endure in these matters Because we remember the Buddha’s decree. If there are any people seeking this Dharma In villages or cities, we will all go there And teach the Dharma entrusted to us by the Buddha. Because we are the Bhagavat’s ambassadors, Wherever we go we have nothing to fear. We will skillfully teach the Dharma. We entreat you, O Buddha, to be at ease. In the presence of the Bhagavat, And all of the buddhas who have come From the ten directions, We make this declaration. O Buddha! You know our intentions!"
XIV,192,37a,"Ease in Practice Thereupon the Prince of the Dharma, Bodhisattva Mahāsattva Mañjuśrī addressed the Buddha, saying: “O Bhagavat! These bodhisattvas are very rare. In respectful obedience to the Buddha they have made this great vow: ‘In the troubled world to come, we will preserve, recite, and teach this Lotus Sutra!’ “O Bhagavat! How can these bodhisattva mahāsattvas teach this sutra in the troubled world to come?” The Buddha addressed Mañjuśrī, saying: “If the bodhisattva mahāsattvas want to teach this sutra in the troubled world to come, they should abide in the four kinds of practices. The ﬁrst is to establish the sphere of their bodhisattva practice and the sphere of their relationships and thereupon expound this sutra for the sake of sentient beings. “O Mañjuśrī! What is the sphere of the practice of the bodhisattva mahāsattva? If a bodhisattva mahāsattva abides in the stage of perseverance, is gentle, tranquil, nonviolent, and unafraid; and furthermore if he remains unmoved with regard to existent things and perceives them in their true aspect, and neither acts nor discriminates, this is called the sphere of the practice of the bodhisattva mahāsattva. “What is the sphere of the relationships of the bodhisattva mahāsattva? The bodhisattva mahāsattva should not consort with kings, princes, ministers, and chief officials. He should not consort with heretics, brahmans, Jains, and others, or with worldly writers, critics of poetry, materialists, or extreme materialists. Nor should he become acquainted with pranksters, boxers, wrestlers, clowns, and various jugglers, nor with outcastes and people who raise boars, sheep, chickens, and dogs, nor with hunters, ﬁshermen, and those with evil conduct. A bodhisattva should teach such people the Dharma if they come to him, but expect nothing. “Nor should a bodhisattva consort with monks, nuns, laymen, and laywomen who seek the śrāvaka vehicle. Nor should he greet them. The bodhisattva should avoid their company in chambers, on roads, or while in lecture"
XIV,194,37b,"halls, and not remain with them. If they come, teach them the Dharma according to their capacities, but expect nothing! “Moreover, O Mañjuśrī! The bodhisattva mahāsattva should expound the teaching without any thought of desire for, or wish to see, a woman’s body. “If a bodhisattva enters someone else’s home he should not talk to young girls, maidens, and widows. A bodhisattva should also not approach the ﬁve kinds of impotent men nor be intimate with them. He should not enter someone else’s home alone; and if for any reason he should enter it alone a bodhisattva should do nothing but singlemindedly contemplate the Buddha. “If he should teach the Dharma to women he should not show his teeth when smiling nor reveal his chest. A bodhisattva should not be intimate with them even for the sake of the Dharma. How much less for other things! “A bodhisattva should take no pleasure in keeping young disciples, śrāmaṇeras, or young boys. Nor should he take pleasure in having the same teacher as them. He should always take pleasure in meditation and, in a quiet place, practice to control his mind. O Mañjuśrī! This is what is known as the ﬁrst sphere of relationships. “Furthermore, the bodhisattva mahāsattvas perceive the emptiness of all dharmas in their true aspect. All things are unerring, unmoving, nonreturning, irreversible, and like empty space which lacks substance. They are beyond all language. They are not produced, nor do they emerge, nor do they arise. They do not have any name or mark, and in reality they have no substance. They are immeasurable, limitless, without obstacles or obstructions. They exist only through dependent origination, arising through error. That is why I teach the permanent joy of perceiving the aspects of all existent things in this way. This is what is known as the second sphere of relationships of a bodhisattva mahāsattva.” At that time the Bhagavat, wanting to elaborate upon the meaning of this further, spoke these verses: If, in the troubled world to come, A bodhisattva with a fearless mind Wants to teach this sutra, He should enter the sphere Of the bodhisattva practice And the sphere of relationships. He should always stay away from kings, Princes, ministers, chief officials, Dangerous pranksters, outcastes, Heretics, and brahmans. He should not consort With excessively proud scholars, Who are attached to scriptures of the inferior vehicle Contained in the three baskets (Tripiṭaka); Nor with monks who violate the precepts, With those who call themselves arhats, Nor with nuns who like to joke and laugh. He should not become acquainted with laywomen Who are attached to the desires of the ﬁve senses, And seek nirvana in their present lives. If these people come to the bodhisattva With good intentions In order to hear about the buddha path, The bodhisattva should then fearlessly Teach them the Dharma Without any expectations. A bodhisattva should not Become intimately acquainted With widows, maidens, Or impotent men. Nor should he consort With slaughterers, butchers, hunters, Or ﬁshermen who kill for proﬁt. He should not consort With people such as those Who make a living From selling meat Or from pandering prostitutes. He should never become acquainted With dangerous wrestlers, Or the varieties of jugglers or courtesans."
XIV,195,37c,"He should not teach the Dharma To a woman alone in a quiet place. When he teaches the Dharma He should not joke or laugh. If he enters a village to beg for food He should be accompanied by a monk. If there is no monk he should Singlemindedly contemplate the Buddha. This is what is known as The sphere of the bodhisattva practice And the sphere of relationships. Within these two spheres He can teach at ease. He should not practice The superior, mediocre, or inferior teachings, The conditioned and the unconditioned, Or the teaching of the real and the unreal. Nor should he discriminate Between men and women. He should not acquire, comprehend, Or perceive any phenomenon. This is what is known As the sphere of the Bodhisattva practice. All dharmas are empty and without substance, Impermanent, without origination or cessation. This is known as the sphere Of the relationships of the wise. Through the error of discrimination One sees all existent things As existing or nonexisting, Real or unreal, Produced or unproduced. Being in a quiet place, the bodhisattva Carries out practices to control his mind And remains as ﬁrm and unmoved As Mount Sumeru. He should regard all dharmas As being without substance, Like empty space Which has no ﬁrmness. All dharmas are neither produced Nor do they emerge; They are immovable, nonreturning, And always remain in their single character. This is known as the sphere of relationships. Any monk after my parinirvāṇa Who enters the sphere of practice And the sphere of relationships Will not be disheartened When he teaches this sutra. A bodhisattva, at proper times, Should enter a quiet chamber And contemplate all dharmas With correct thoughts, According to the meaning. Arising from meditation he should reveal And expound this sutra To kings, princes, ministers, and brahmans. Then his mind will be at ease and unafraid. O Mañjuśrī! This is the bodhisattva Who ﬁrmly abides in the Dharma from the beginning And in the world to come will be able To teach the Lotus Sutra. “Furthermore, O Mañjuśrī, after the Tathāgata’s parinirvāṇa, anyone who wants to teach this sutra in the Age of the Decadent Dharma should abide in ease of practice. When he expounds or recites this sutra he should not take pleasure in talking about the faults of people or of the sutra. Nor"
XIV,198,38a,"should he slander other expounders of the Dharma or talk of the good and bad, strong and weak points of others. “As for the śrāvakas, a bodhisattva should not name them and point out their faults, nor name them and praise their virtues. Moreover, he should not feel any hatred; because if he skillfully practices ease of mind in this way, those who listen to him will not oppose his intentions. If he is asked difficult questions, he should not answer using the teaching of the inferior vehicle. He should take his explanation only from the Mahayana, which will enable them to attain omniscience.” At that time the Bhagavat, wanting to elaborate the meaning of this further, spoke these verses: The bodhisattva should always willingly Teach the Dharma at ease, Establishing his seat in a pure place. He should anoint his body with oil To cleanse himself of dirt, And put on new, clean clothing. Both his outer garments and undergarments being pure, Sitting comfortably on the Dharma seat, He should teach according to the questions. If there are any monks, nuns, laymen, and laywomen, Or kings, princes, subjects, officials, and commoners, Using subtle ideas he should teach them With a composed countenance. If they have difficult questions He should answer in accordance with the meaning, Expounding and illuminating it With various explanations and illustrations. Through these skillful means He should awaken the thought of Enlightenment in them all, Gradually beneﬁting them, And causing them to enter the buddha path. Ridding them of idle minds And lazy thoughts, As well as anxieties, He should compassionately Teach the Dharma. He should continuously expound The teaching of the highest path Both day and night, using various explanations And incalculable illustrations. Revealing this to sentient beings He will cause them all to rejoice. He should not expect to receive any clothing, Bedding, food and drink, or medicine. He should only singlemindedly think Of teaching the Dharma, Gain mastery of the buddha path, And enable sentient beings also to attain it. It is exactly this kind of offering That brings great beneﬁt and ease. After my parinirvāṇa if there is any monk Who is able to explain the Lotus Sutra, His mind will be free from the obstructions of Jealousy, anger, and anxiety. He will also be without sorrows And no one will slander him. He will not be afraid of being Attacked with swords and sticks; And he will not be expelled from the sangha, Because he abides in perseverance. The wise skillfully compose Their minds in this way And can abide in ease, As I have described above. One would not be able to fully Describe the qualities of such a person Through calculations and illustrations,"
XIV,199,38b,"Though they lasted for Thousands of myriads of koṭis of kalpas. “Furthermore, O Mañjuśrī, in the future when the Dharma becomes extinct, any bodhisattva mahāsattva who preserves and recites this sutra will not feel jealous or be deceitful, nor will he insult those who study the buddha path by pointing out their good qualities or their deﬁciencies. “If there are any monks, nuns, laymen, and laywomen who are seeking the śrāvaka vehicle, the pratyekabuddha vehicle, or the bodhisattva path, a bodhisattva will not worry them, causing them to have doubts by saying: You are very far away from the path and will never be able to attain omniscience. Why is this? Because you are negligent and idle in the path. “Moreover, a bodhisattva also should not devise hollow sophistries concerning the teachings and argue about them. In him the thought of great compassion for all sentient beings should awaken, together with the thought that all Tathāgatas are compassionate fathers and that all bodhisattvas are great teachers. He should always deeply respect and pay homage to all of the great bodhisattvas in the ten directions. He should teach the Dharma equally to all sentient beings in accordance with the Dharma, explaining neither too much nor too little. Nor should he teach too much even to those who are deeply enthusiastic about hearing the Dharma. “O Mañjuśrī! In the future world, when the Dharma is to be extinguished, this bodhisattva mahāsattva, having perfected the third sphere of ease in practice, will not be perplexed when he teaches this Dharma. He will become acquainted with good fellow students who will recite this sutra together. He will also acquire a great following who come to hear his teaching, preserve it after hearing it, recite it after preserving it, teach it after reciting it, copy it after teaching it, and enable others to copy, respect, honor, praise, and pay homage to the [Lotus] Sutra.” Thereupon the Bhagavat, wanting to elaborate on the meaning of this further, spoke these verses: If anyone wants to teach this sutra, He should get rid of jealousy, anger, Pride, ﬂattery, deceitfulness, and falsity. He should always practice honest conduct. He should not slander others Or make up fallacies about the Dharma. Nor should he cause others to be doubtful by saying: You will not become a buddha. This heir of the Buddha who teaches the Dharma Should always be gentle, patient, And compassionate to all. He should never have lazy thoughts. He should respect the great bodhisattvas In the ten directions who practice the path Out of their compassion for sentient beings, And think that they are his great teachers. He should think that all the Buddha Bhagavats are the most excellent fathers. Destroying arrogance, he should teach The Dharma without obstructions. The third sphere of the teaching Of ease in practice is like this. The wise should preserve it. Those who practice wholeheartedly and at ease Will be honored by innumerable sentient beings."
XIV,201,38c,"“Furthermore, O Mañjuśrī, in the future world when the Dharma is to be extinguished, any bodhisattva mahāsattva who preserves this Lotus Sutra will awaken the thought of great kindness toward lay Buddhists and renunciants and also awaken the thought of great compassion toward non-bodhisattvas. He should think: People like these have really missed the Tathāgata’s teaching of the Dharma according to their capacities through skillful means. They do not hear, know, or realize it. They do not ask, believe, or understand. Those people do not even ask questions about this sutra, believe it, or understand it. When I attain highest, complete enlightenment, wherever I am, I will lead them and enable them to abide in this teaching through my transcendent powers and power of wisdom."
XIV,202,39a,"“O Mañjuśrī! After the Tathāgata’s parinirvāṇa, this bodhisattva mahāsattva, who has perfected the fourth sphere of the teaching of ease in practice, will be faultless when he teaches this Dharma. He will always be paid homage to, respected, honored, and praised by monks, nuns, laymen, laywomen, kings, princes, ministers, commoners, brahmans, and householders. The devas in the sky will always accompany him in order to hear the Dharma. If he is in a village, city, secluded spot, or forest and the people want to come and ask difficult questions, the devas will protect him both day and night, always for the sake of the Dharma, and he will cause all of those who listen to him to rejoice. Why is this? Because this sutra is preserved through the transcendent powers of all the buddhas of the past, present, and future. “O Mañjuśrī! Even the title of this Lotus Sutra cannot be heard in incalculable lands. How much more is it unable to be seen, accepted, preserved, and recited! “O Mañjuśrī! Suppose a very powerful noble emperor wanted to subdue other countries with his might, but the lesser kings would not obey his command. In such a case the noble emperor gathers an army together to overcome them. He recognizes the soldiers who have committed brave deeds in war and, greatly rejoicing, he bestows boons according to their merit, such as estates, villages, cities, garments, ornaments, various treasures, gold, silver, lapis lazuli, mother-of-pearl, agate, coral, amber, elephants, horses, chariots, servants, and subjects, but he never gives them the precious jewel in his topknot. Why is this? Because only the noble emperor has this precious jewel in his topknot. If the emperor gives it away his attendants would certainly be very surprised and mistrustful. “O Mañjuśrī! The Tathāgata is exactly like this. He has attained the land of the Dharma through his powers of concentration and wisdom. Thus he has become the king of the triple world. Since the māra kings will not obey him, the wise and noble generals of the Tathāgata come to do battle with them. The Tathāgata rejoices at the meritorious ones and teaches various sutras to the fourfold assembly, gladdening them. He bestows upon them the property of all the teachings about concentrations, liberations, faculties without corruption, and powers. He also bestows upon them the city of nirvana. Saying that they have attained nirvana, he leads their minds onward and gladdens them all. And yet he does not teach them the Lotus Sutra. “O Mañjuśrī! It is just as if the noble emperor ﬁnally gives the jewel that has been long concealed in his topknot. Although he perceived the great merit of those soldiers and was deeply pleased, he did not rashly give them the marvelous jewel. The Tathāgata is also exactly like this. Since he is the great King of the Dharma in the triple world he inspires all the sentient beings through the Dharma. When he sees the wise and noble soldiers who have done battle with the māra of the ﬁve aggregates, the māra of desires, and the māra of death, who have great merit in battle, and have extinguished the three poisons, left the triple world, and broken out of Māra’s net, he then rejoices greatly. He now teaches the Lotus Sutra, which is treated with hostility by the entire world and is difficult to believe in, and which he has never taught before, and enables sentient beings to attain omniscience. “O Mañjuśrī! This Lotus Sutra is the ultimate teaching of all the Tathāgatas, the most profound among all the teachings, and conferred at the very end. It was in the same way that the very powerful and noble emperor gave the jewel after having preserved it for a long time. “O Mañjuśrī! This Lotus Sutra is the secret treasure house of all the Buddha Tathāgatas, and the foremost among all the sutras. The Buddha has preserved it for a long time and he has not taught it indiscriminately. Now, for the ﬁrst time he teaches it.” At that time the Bhagavat, wanting to elaborate on the meaning of this further, spoke these verses: Always practice patience And be compassionate toward all, Since only then can one expound A sutra praised by the Buddha! In the future those who preserve this sutra Should be compassionate and kind toward Lay Buddhists, renunciants, and non-bodhisattvas, Saying: Those who have not heard this sutra Or who do not believe in it Have consequently lost a great opportunity. When I attain the buddha path I will expound this teaching Through various skillful means And enable them to abide in it. Suppose there was a powerful, noble emperor Who bestows upon those soldiers meritorious in battle Various gifts of elephants, horses, chariots, conveyances, Ornaments, estates, villages, cities, garments, Various treasures, servants, and wealth. He gives these gifts with joy. If there is anyone who has been brave And has performed difficult deeds, The noble emperor gives The precious jewel in his topknot. The Tathāgata is exactly like this. He is the emperor of all the teachings. Out of his great compassion, And through his treasury of wisdom And great power of patience, He inspires the world according to the Dharma. Seeing all the sentient beings suffering, Seeking liberation And doing battle with the māras, He explains various teachings for the beings And teaches various sutras With his great skillful means. Knowing that the sentient beings have Finally attained the power to understand, He teaches this Lotus Sutra only at the very end, Just like the noble emperor Who gave the jewel in his topknot."
XIV,204,39b,"This sutra is the utmost, Superior to all the sutras. I have constantly preserved it And have not revealed it indiscriminately. Now is the right time to teach it to you. After my parinirvāṇa Those seeking the buddha path, Who want to attain ease and expound this sutra, Should become familiar with these four spheres Of the teaching concerning ease in practice. Those who recite this sutra will always Be free from anxiety and illness, And will have a noble countenance. They will not be born into poverty, Lowliness or ugliness. Sentient beings will want to meet them Just as they long to meet a wise seer, And all of the devaputras will serve them. Sticks and swords cannot hurt them, And poison cannot harm them. If people slander them Those slanderers’ mouths will be sealed up. They will travel fearlessly Like a lion king, and The light of their wisdom Will illuminate just like the sun. If they dream they see only subtle things. They see the Tathāgatas seated on lion seats, Teaching the Dharma to the assembly Of monks surrounding them. They see nāgas and asuras, As numerous as the sands of the Ganges River, Honoring the Tathāgatas With their palms pressed together. Revealing themselves, They teach the Dharma to these beings. They also see the buddhas, with golden bodies, Emitting immeasurable rays of light Which illuminate universally, And expounding various teachings With beautiful voices like Brahma’s. To the fourfold assembly The Buddha teaches the highest Dharma. Revealing themselves among them, They praise the Buddha With palms pressed together. Hearing the Dharma they rejoice And pay homage to the Buddha. They attain the power of recollection And achieve the wisdom of nonretrogression. The Buddha, knowing their minds, And that they have deeply entered the buddha path, Gives them a prediction of the highest, Complete enlightenment, saying:"
XV,206,39c,"O son of a virtuous family! In the future you will attain immeasurable Wisdom and the great path of the Buddha. Your land will be pure and vast, Beyond all comparison. The fourfold assembly will also be there Listening to the Dharma with their palms Pressed together. They who recite this sutra also see themselves In mountain forests, practicing excellent teachings, Experiencing the real aspect, Deeply entering into concentration, And looking at the buddhas in the ten directions, All of whom have golden bodies Adorned with a hundred auspicious marks. They will always have such pleasant dreams And, hearing the Dharma taught, They will teach it to others. They will also dream about becoming The king of a realm who abandons his palace And retinue, and the highly pleasing Desires of the ﬁve senses, Approaches the terrace of enlightenment, Sits on the lion seat under the bodhi tree, Attains the wisdom of all the buddhas After seeking the path for seven days, And who, arising, turns the wheel of the Dharma After having attained the highest path. They will teach the Dharma to the fourfold assembly For thousands of myriads of koṭis of kalpas. Explaining the true and incorruptible Dharma, They will save innumerable sentient beings. Later they will enter nirvana Just as smoke dies away When the ﬂame of a candle is extinguished. If anyone in the troubled world to come Teaches this highest Dharma They will attain great beneﬁts Like the merits mentioned above. Bodhisattvas Emerging from the Earth At that time the bodhisattva mahāsattvas, who had arrived from other lands and whose number exceeded that of the sands of eight Ganges Rivers, stood up in the great assembly, bowed with their palms pressed together, and then spoke to the Buddha, saying: “O Bhagavat! If you give us permission to diligently strive to preserve, recite, copy and pay homage to this [Lotus] Sutra after the parinirvāṇa of the Buddha in this sahā world, then we will extensively teach it in this land.” Then the Buddha addressed the assembly of bodhisattva mahāsattvas, saying: “Enough, O sons of a virtuous family! There is no need for you to preserve this sutra. Why is this? In my sahā world there are bodhisattva mahāsattvas, equal to the sands of sixty thousand Ganges Rivers in number; and each of these bodhisattvas, in turn, has a retinue equal to the sands of sixty thousand Ganges Rivers. After my parinirvāṇa they can preserve, recite, and extensively teach this sutra.” When the Buddha said this all the lands of the great manifold cosmos in the sahā world quaked and the earth split. From out of this crevice there simultaneously appeared incalculable thousands of myriads of koṭis of bodhisattva mahāsattvas. All of these bodhisattvas had golden bodies endowed with the thirty-two marks and radiating immeasurable rays of light. They had all previously been living in the space under the earth of the sahā world. Having heard the sound of Śākyamuni’s teaching, all of these bodhisattvas emerged from below. Each of those bodhisattvas presided over a great assembly and each led a retinue equal to the sands of sixty thousand Ganges Rivers in number. How much more numerous were the bodhisattvas who emerged leading retinues equal in number to the sands of ﬁfty thousand, forty thousand, thirty thousand, twenty thousand, or ten thousand Ganges Rivers! How much more numerous were the bodhisattvas who emerged leading retinues even equal"
XV,210,40a,"to the sands of one Ganges River, half a Ganges River, a quarter of a Ganges River, or even just one thousandth of a myriad of a koṭi of a nayuta of the sands of a Ganges River! How many more retinues were there numbering thousands of myriads of koṭis of nayutas! How many more retinues were there numbering myriads of koṭis! How many more were those numbering ten million, one million, or even ten thousand! How many more were those numbering one thousand, one hundred, or even ten! How much more numerous were bodhisattvas leading disciples numbering ﬁve, four, three, two, or even one! And how many more bodhisattvas were there who had eagerly practiced alone and far from the worldly life! The number of such bodhisattvas as these is incalculable and limitless, beyond all calculation and metaphor. Having emerged from the earth, each of these bodhisattvas approached the Tathāgatas Prabhūtaratna and Śākyamuni, still seated in the beautiful seven-jeweled stupa in the air. Going up to them, they bowed until their foreheads touched the feet of both Bhagavats. Then, having bowed to the other buddhas, each sitting on a lion seat under the jeweled trees, they circumambulated them to the right three times, honoring them with their palms pressed together. Having praised them with various bodhisattva eulogies, they withdrew to one side and joyfully gazed at the two Bhagavats. All these bodhisattva mahāsattvas, having emerged from the earth, praised the buddhas with various bodhisattva eulogies. While they did, ﬁfty intermediate kalpas passed. During this time the Buddha Śākyamuni sat in silence; and the fourfold assemblies were also silent while the ﬁfty intermediate kalpas passed. Because of the Buddha’s transcendent powers, the great assemblies believed that the time that had passed was only half a day. Then, through the transcendent powers of the Buddha, the fourfold assemblies also saw the bodhisattvas ﬁlling the air throughout immeasurable hundreds of thousands of myriads of koṭis of lands. There were four leaders among those bodhisattvas gathered there. They were called Viśiṣṭacāritra, Anantacāritra, Viśuddhacāritra, and Supratiṣṭhitacāritra. These four bodhisattvas were the foremost leaders in the assembly. At the head of the great assembly, they each pressed their palms together, gazed at Śākyamuni Buddha, and inquired of him, saying: “O Bhagavat! Are you without illness or pain? Are you at ease in practice or not? Do those who should be saved accept your teaching easily or not? Do they not make you weary, O Bhagavat?” Thereupon the four great bodhisattvas spoke these verses: O Bhagavat! Are you at ease? Are you without illness or pain? Are you fatigued with leading And inspiring sentient beings? Do the sentient beings accept Your guidance easily or not? Do they not tire the Bhagavat?"
